"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_17149&withRelationships=true&charts=0_Orion.Nodes_17149-Orion.PerfStack.Events;0_Orion.Nodes_17149-Orion.PerfStack.Status;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Events",2022-01-20 04:12:00,84,"RNEC-VM-09","Critical",2022-01-20 04:12:00,0,"RNEC-VM-09","Warning",2022-01-20 04:12:00,42,"RNEC-VM-09","Informational",2022-01-20 04:12:00,42,
"RNEC-VM-09","Events",2022-01-20 10:06:00,82,"RNEC-VM-09","Critical",2022-01-20 10:06:00,0,"RNEC-VM-09","Warning",2022-01-20 10:06:00,40,"RNEC-VM-09","Informational",2022-01-20 10:06:00,42,
"RNEC-VM-09","Events",2022-01-20 16:00:00,63,"RNEC-VM-09","Critical",2022-01-20 16:00:00,0,"RNEC-VM-09","Warning",2022-01-20 16:00:00,29,"RNEC-VM-09","Informational",2022-01-20 16:00:00,34,
"RNEC-VM-09","Events",2022-01-20 21:54:00,87,"RNEC-VM-09","Critical",2022-01-20 21:54:00,1,"RNEC-VM-09","Warning",2022-01-20 21:54:00,42,"RNEC-VM-09","Informational",2022-01-20 21:54:00,44,
"RNEC-VM-09","Events",2022-01-21 03:48:00,78,"RNEC-VM-09","Critical",2022-01-21 03:48:00,0,"RNEC-VM-09","Warning",2022-01-21 03:48:00,35,"RNEC-VM-09","Informational",2022-01-21 03:48:00,43,
"RNEC-VM-09","Events",2022-01-21 09:42:00,98,"RNEC-VM-09","Critical",2022-01-21 09:42:00,0,"RNEC-VM-09","Warning",2022-01-21 09:42:00,49,"RNEC-VM-09","Informational",2022-01-21 09:42:00,49,
"RNEC-VM-09","Events",2022-01-21 15:36:00,81,"RNEC-VM-09","Critical",2022-01-21 15:36:00,0,"RNEC-VM-09","Warning",2022-01-21 15:36:00,37,"RNEC-VM-09","Informational",2022-01-21 15:36:00,44,
"RNEC-VM-09","Events",2022-01-21 21:30:00,74,"RNEC-VM-09","Critical",2022-01-21 21:30:00,0,"RNEC-VM-09","Warning",2022-01-21 21:30:00,36,"RNEC-VM-09","Informational",2022-01-21 21:30:00,38,
"RNEC-VM-09","Events",2022-01-22 03:24:00,72,"RNEC-VM-09","Critical",2022-01-22 03:24:00,0,"RNEC-VM-09","Warning",2022-01-22 03:24:00,36,"RNEC-VM-09","Informational",2022-01-22 03:24:00,36,
"RNEC-VM-09","Events",2022-01-22 09:18:00,80,"RNEC-VM-09","Critical",2022-01-22 09:18:00,0,"RNEC-VM-09","Warning",2022-01-22 09:18:00,37,"RNEC-VM-09","Informational",2022-01-22 09:18:00,43,
"RNEC-VM-09","Events",2022-01-22 15:12:00,69,"RNEC-VM-09","Critical",2022-01-22 15:12:00,0,"RNEC-VM-09","Warning",2022-01-22 15:12:00,33,"RNEC-VM-09","Informational",2022-01-22 15:12:00,36,
